date;node;edge;user_node;user_edge;node_descrip;node_user_descrip;node_size;url
Sat Apr 16 05:23:58 +0000 2016;721207484795523072;('721207484795523072', '718465846767697920');1451881243;('1451881243', '1978535671');"RT @witooosik: Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";djcr777;;https://lenta.ru/news/2016/04/07/zakarpatye/
Mon Apr 11 07:54:06 +0000 2016;719433328869384192;('719433328869384192', '718465846767697920');2667185074;('2667185074', '1978535671');"RT @witooosik: Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";RuzannaDoil;;https://lenta.ru/news/2016/04/07/zakarpatye/
Sat Apr 09 09:52:07 +0000 2016;718738250970607616;('718738250970607616', '718465846767697920');3029393736;('3029393736', '1978535671');"RT @witooosik: Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";cfsmesw9iK4y3Kk;;https://lenta.ru/news/2016/04/07/zakarpatye/
Sat Apr 09 03:50:55 +0000 2016;718647354509942785;('718647354509942785', '718465846767697920');2588703712;('2588703712', '1978535671');"RT @witooosik: Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";8864531e6d544ad;;https://lenta.ru/news/2016/04/07/zakarpatye/
Sat Apr 09 02:08:46 +0000 2016;718621644982521856;('718621644982521856', '718465846767697920');1282871468;('1282871468', '1978535671');"RT @witooosik: Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";odegov_art;;https://lenta.ru/news/2016/04/07/zakarpatye/
Fri Apr 08 19:43:43 +0000 2016;718524743427747840;('718524743427747840', '718465846767697920');2521427539;('2521427539', '1978535671');"RT @witooosik: Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";100_zhez;;https://lenta.ru/news/2016/04/07/zakarpatye/
Fri Apr 08 18:03:38 +0000 2016;718499556883853312;('718499556883853312', '718465846767697920');1074524833;('1074524833', '1978535671');"RT @witooosik: Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";pappzahar;;https://lenta.ru/news/2016/04/07/zakarpatye/
Fri Apr 08 16:24:27 +0000 2016;718474598317191168;('718474598317191168', '718465846767697920');565599168;('565599168', '1978535671');"RT @witooosik: Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";SvetlanaEnergy;;https://lenta.ru/news/2016/04/07/zakarpatye/
Fri Apr 08 16:20:24 +0000 2016;718473578073690114;('718473578073690114', '718465846767697920');3010652020;('3010652020', '1978535671');"RT @witooosik: Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";kik01010;;https://lenta.ru/news/2016/04/07/zakarpatye/
Fri Apr 08 16:15:43 +0000 2016;718472401177165824;('718472401177165824', '718465846767697920');2762542603;('2762542603', '1978535671');"RT @witooosik: Процесс пошёл...
#Закарпатская область потребовала автономии у #Киева... https://t.co/z9ql128j6v https://t.co/aVmkqRqfxV";Tritatusshka;;https://lenta.ru/news/2016/04/07/zakarpatye/
